Ticker,Name,SPY,QQQ,XLK,XLF,XLC,XLY,XLP,XLE,XLV,XLI,XLB,XLRE,XLU,IGV,ITA,SOXX,SMH,ARKK
ATO,ATMOS ENERGY CORP,0.0454,-,-,-,-,-,-,-,-,-,-,-,2.0245,-,-,-,-,-
WY,WEYERHAEUSER CO,0.0317,-,-,-,-,-,-,-,-,-,-,2.0299,-,-,-,-,-,-
WDAY,WORKDAY INC CLASS A,0.0683,0.21,0.3422,-,-,-,-,-,-,-,-,-,-,1.44,-,-,-,-
COF,CAPITAL ONE FINANCIAL CORP,0.2315,-,-,1.8224,-,-,-,-,-,-,-,-,-,-,-,-,-,-
APH,AMPHENOL CORP CL A,0.3413,-,1.7019,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CW,CURTISS WRIGHT CORP,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.04,-,-,-
ES,EVERSOURCE ENERGY,0.0442,-,-,-,-,-,-,-,-,-,-,-,1.9772,-,-,-,-,-
ROP,ROPER TECHNOLOGIES INC,0.0665,0.21,0.3324,-,-,-,-,-,-,-,-,-,-,1.4,-,-,-,-
MCK,MCKESSON CORP,0.1727,-,-,-,-,-,-,-,1.8278,-,-,-,-,-,-,-,-,-
BALL,BALL CORP,0.0256,-,-,-,-,-,-,-,-,-,1.9724,-,-,-,-,-,-,-
CNP,CENTERPOINT ENERGY INC,0.0439,-,-,-,-,-,-,-,-,-,-,-,1.9402,-,-,-,-,-
FOXA,FOX CORP   CLASS A,0.0253,-,-,-,1.9472,-,-,-,-,-,-,-,-,-,-,-,-,-
ALAB,ASTERA LABS INC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.96,-,-
AWK,AMERICAN WATER WORKS CO INC,0.0427,-,-,-,-,-,-,-,-,-,-,-,1.9004,-,-,-,-,-
XYZ,BLOCK INC,0.0595,-,-,0.467,-,-,-,-,-,-,-,-,-,-,-,-,-,1.41
GM,GENERAL MOTORS CO,0.1352,-,-,-,-,1.8003,-,-,-,-,-,-,-,-,-,-,-,-
REGN,Regeneron Pharmaceuticals Inc,0.1304,0.42,-,-,-,-,-,-,1.3798,-,-,-,-,-,-,-,-,-
HAL,HALLIBURTON CO,0.0484,-,-,-,-,-,-,1.8509,-,-,-,-,-,-,-,-,-,-
EL,ESTEE LAUDER COMPANIES CL A,0.0478,-,-,-,-,-,1.8448,-,-,-,-,-,-,-,-,-,-,-
AVY,AVERY DENNISON CORP,0.0242,-,-,-,-,-,-,-,-,-,1.8655,-,-,-,-,-,-,-
FE,FIRSTENERGY CORP,0.0417,-,-,-,-,-,-,-,-,-,-,-,1.8434,-,-,-,-,-
HSY,HERSHEY CO/THE,0.0478,-,-,-,-,-,1.8298,-,-,-,-,-,-,-,-,-,-,-
CF,CF INDUSTRIES HOLDINGS INC,0.024,-,-,-,-,-,-,-,-,-,1.8473,-,-,-,-,-,-,-
CSX,CSX CORP,0.1178,0.37,-,-,-,-,-,-,-,1.3824,-,-,-,-,-,-,-,-
NTLA,INTELLIA THERAPEUTICS INC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.86
TT,TRANE TECHNOLOGIES PLC,0.1459,-,-,-,-,-,-,-,-,1.7141,-,-,-,-,-,-,-,-
EIX,EDISON INTERNATIONAL,0.0405,-,-,-,-,-,-,-,-,-,-,-,1.7981,-,-,-,-,-
WM,WASTE MANAGEMENT INC,0.1439,-,-,-,-,-,-,-,-,1.6896,-,-,-,-,-,-,-,-
PGR,PROGRESSIVE CORP,0.2047,-,-,1.6107,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NKE,NIKE INC  CL B,0.1256,-,-,-,-,1.6763,-,-,-,-,-,-,-,-,-,-,-,-
CTAS,CINTAS CORP,0.1096,0.4,-,-,-,-,-,-,-,1.2871,-,-,-,-,-,-,-,-
MMM,3M CO,0.1408,-,-,-,-,-,-,-,-,1.6545,-,-,-,-,-,-,-,-
CVS,CVS HEALTH CORP,0.1531,-,-,-,-,-,-,-,1.6225,-,-,-,-,-,-,-,-,-
EMR,EMERSON ELECTRIC CO,0.1395,-,-,-,-,-,-,-,-,1.6348,-,-,-,-,-,-,-,-
ROST,ROSS STORES INC,0.1015,0.32,-,-,-,1.3515,-,-,-,-,-,-,-,-,-,-,-,-
RCL,ROYAL CARIBBEAN CRUISES LTD,0.1232,-,-,-,-,1.6465,-,-,-,-,-,-,-,-,-,-,-,-
ESS,ESSEX PROPERTY TRUST INC,0.0274,-,-,-,-,-,-,-,-,-,-,1.7406,-,-,-,-,-,-
MSTR,STRATEGY INC CLASS A,-,0.23,-,-,-,-,-,-,-,-,-,-,-,1.53,-,-,-,-
TXT,TEXTRON INC,0.028,-,-,-,-,-,-,-,-,0.3269,-,-,-,-,1.39,-,-,-
HII,HUNTINGTON INGALLS INDUSTRIES INC,0.0281,-,-,-,-,-,-,-,-,0.3266,-,-,-,-,1.39,-,-,-
TKO,TKO GROUP HOLDINGS INC,0.0221,-,-,-,1.7146,-,-,-,-,-,-,-,-,-,-,-,-,-
MAA,MID AMERICA APARTMENT COMM,0.0265,-,-,-,-,-,-,-,-,-,-,1.6934,-,-,-,-,-,-
ACN,ACCENTURE PLC CL A,0.2869,-,1.4304,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CRDO,CREDO TECHNOLOGY GROUP HOLDING LTD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.71,-,-
EXE,EXPAND ENERGY CORP,0.0434,-,-,-,-,-,-,1.6637,-,-,-,-,-,-,-,-,-,-
CMI,CUMMINS INC,0.133,-,-,-,-,-,-,-,-,1.5674,-,-,-,-,-,-,-,-
ILMN,ILLUMINA INC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.7
HEIA,HEICO CORP CLASS A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.7,-,-,-
LYB,LYONDELLBASELL INDU CL A,0.0218,-,-,-,-,-,-,-,-,-,1.6764,-,-,-,-,-,-,-
UPS,UNITED PARCEL SERVICE CL B,0.1327,-,-,-,-,-,-,-,-,1.5611,-,-,-,-,-,-,-,-
PCAR,PACCAR INC,0.1063,0.33,-,-,-,-,-,-,-,1.2504,-,-,-,-,-,-,-,-
CMS,CMS ENERGY CORP,0.0364,-,-,-,-,-,-,-,-,-,-,-,1.6358,-,-,-,-,-
WWD,WOODWARD INC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.66,-,-,-
CRWV,COREWEAVE INC-CL A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.66
FICO,FAIR ISAAC CORP,0.0614,-,0.3063,-,-,-,-,-,-,-,-,-,-,1.29,-,-,-,-
HLT,HILTON WORLDWIDE HOLDINGS IN,0.1155,-,-,-,-,1.538,-,-,-,-,-,-,-,-,-,-,-,-
INVH,INVITATION HOMES INC,0.0253,-,-,-,-,-,-,-,-,-,-,1.6208,-,-,-,-,-,-
CB,CHUBB LTD,0.1851,-,-,1.4568,-,-,-,-,-,-,-,-,-,-,-,-,-,-
BX,BLACKSTONE INC,0.1836,-,-,1.4472,-,-,-,-,-,-,-,-,-,-,-,-,-,-
DVN,DEVON ENERGY CORP,0.0415,-,-,-,-,-,-,1.5885,-,-,-,-,-,-,-,-,-,-
CVNA,CARVANA CO,0.1133,-,-,-,-,1.5094,-,-,-,-,-,-,-,-,-,-,-,-
NI,NISOURCE INC,0.0354,-,-,-,-,-,-,-,-,-,-,-,1.5805,-,-,-,-,-
GIS,GENERAL MILLS INC,0.0401,-,-,-,-,-,1.5368,-,-,-,-,-,-,-,-,-,-,-
HCA,HCA HEALTHCARE INC,0.1355,-,-,-,-,-,-,-,1.4344,-,-,-,-,-,-,-,-,-
ENTG,ENTEGRIS INC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.56,-,-
BLSH,BULLISH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.55
KIM,KIMCO REALTY CORP,0.0238,-,-,-,-,-,-,-,-,-,-,1.5223,-,-,-,-,-,-
JCI,JOHNSON CONTROLS INTERNATION,0.1199,-,-,-,-,-,-,-,-,1.4086,-,-,-,-,-,-,-,-
DLTR,DOLLAR TREE INC,0.0388,-,-,-,-,-,1.4893,-,-,-,-,-,-,-,-,-,-,-
PWR,QUANTA SERVICES INC,0.1197,-,-,-,-,-,-,-,-,1.4084,-,-,-,-,-,-,-,-
ANET,ARISTA NETWORKS INC,0.2538,-,1.2668,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AZO,AUTOZONE INC,0.106,-,-,-,-,1.412,-,-,-,-,-,-,-,-,-,-,-,-
STZ,CONSTELLATION BRANDS INC A,0.0381,-,-,-,-,-,1.4649,-,-,-,-,-,-,-,-,-,-,-
KHC,KRAFT HEINZ CO/THE,0.0338,0.15,-,-,-,-,1.3016,-,-,-,-,-,-,-,-,-,-,-
ICE,INTERCONTINENTAL EXCHANGE IN,0.1657,-,-,1.3045,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CHD,CHURCH + DWIGHT CO INC,0.0372,-,-,-,-,-,1.4287,-,-,-,-,-,-,-,-,-,-,-
ITW,ILLINOIS TOOL WORKS,0.1145,-,-,-,-,-,-,-,-,1.3459,-,-,-,-,-,-,-,-
CRS,CARPENTER TECHNOLOGY CORP,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.46,-,-,-
FDX,FEDEX CORP,0.1137,-,-,-,-,-,-,-,-,1.3366,-,-,-,-,-,-,-,-
ATI,ATI INC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.42,-,-,-
CI,THE CIGNA GROUP,0.121,-,-,-,-,-,-,-,1.2808,-,-,-,-,-,-,-,-,-
ELV,ELEVANCE HEALTH INC,0.1204,-,-,-,-,-,-,-,1.274,-,-,-,-,-,-,-,-,-
NSC,NORFOLK SOUTHERN CORP,0.1088,-,-,-,-,-,-,-,-,1.2778,-,-,-,-,-,-,-,-
CTRA,COTERRA ENERGY INC,0.035,-,-,-,-,-,-,1.345,-,-,-,-,-,-,-,-,-,-
IDXX,IDEXX LABORATORIES INC,0.0933,0.29,-,-,-,-,-,-,0.9849,-,-,-,-,-,-,-,-,-
EVRG,EVERGY INC,0.0299,-,-,-,-,-,-,-,-,-,-,-,1.3242,-,-,-,-,-
DOC,HEALTHPEAK PROPERTIES INC,0.0209,-,-,-,-,-,-,-,-,-,-,1.3213,-,-,-,-,-,-
COR,CENCORA INC,0.1158,-,-,-,-,-,-,-,1.2258,-,-,-,-,-,-,-,-,-
NTRA,NATERA INC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.34
VCYT,VERACYTE INC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.34
FAST,FASTENAL CO,0.0846,0.26,-,-,-,-,-,-,-,0.9933,-,-,-,-,-,-,-,-
LNT,ALLIANT ENERGY CORP,0.0292,-,-,-,-,-,-,-,-,-,-,-,1.2887,-,-,-,-,-
WDC,WESTERN DIGITAL CORP,0.1449,0.45,0.7224,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TPL,TEXAS PACIFIC LAND CORP,0.0334,-,-,-,-,-,-,1.283,-,-,-,-,-,-,-,-,-,-
NWSA,NEWS CORP   CLASS A,0.0167,-,-,-,1.2959,-,-,-,-,-,-,-,-,-,-,-,-,-
F,FORD MOTOR CO,0.0913,-,-,-,-,1.218,-,-,-,-,-,-,-,-,-,-,-,-
USB,US BANCORP,0.1476,-,-,1.16,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MRSH,MARSH + MCLENNAN COS,0.1472,-,-,1.1591,-,-,-,-,-,-,-,-,-,-,-,-,-,-
PNC,PNC FINANCIAL SERVICES GROUP,0.1471,-,-,1.158,-,-,-,-,-,-,-,-,-,-,-,-,-,-
RXRX,RECURSION PHARMACEUTICALS-A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.3
HST,HOST HOTELS + RESORTS INC,0.0199,-,-,-,-,-,-,-,-,-,-,1.2757,-,-,-,-,-,-
REG,REGENCY CENTERS CORP,0.0197,-,-,-,-,-,-,-,-,-,-,1.2598,-,-,-,-,-,-
FOX,FOX CORP   CLASS B,0.016,-,-,-,1.2507,-,-,-,-,-,-,-,-,-,-,-,-,-
CPT,CAMDEN PROPERTY TRUST,0.0197,-,-,-,-,-,-,-,-,-,-,1.244,-,-,-,-,-,-
BIDU,BAIDU INC - SPON ADR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.26
CMG,CHIPOTLE MEXICAN GRILL INC,0.0879,-,-,-,-,1.1713,-,-,-,-,-,-,-,-,-,-,-,-
NVMI,NOVA LTD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.25,-,-
MTSI,MACOM TECHNOLOGY SOLUTIONS INC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.25,-,-
URI,UNITED RENTALS INC,0.0969,-,-,-,-,-,-,-,-,1.1379,-,-,-,-,-,-,-,-
BK,BANK OF NEW YORK MELLON CORP,0.139,-,-,1.0943,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TSN,TYSON FOODS INC CL A,0.0312,-,-,-,-,-,1.1993,-,-,-,-,-,-,-,-,-,-,-
STX,Seagate Technology Holdings PLC,0.1359,0.41,0.6774,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
UDR,UDR INC,0.0189,-,-,-,-,-,-,-,-,-,-,1.1978,-,-,-,-,-,-
STM,STMICROELECTRONICS ADR NV,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.53,0.68,-
MCO,MOODY S CORP,0.1335,-,-,1.0513,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KKR,KKR + CO INC,0.1336,-,-,1.051,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MOS,MOSAIC CO/THE,0.0152,-,-,-,-,-,-,-,-,-,1.1654,-,-,-,-,-,-,-
HEI,HEICO CORP,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.14,-,-,-
BDX,BECTON DICKINSON AND CO,0.0977,-,-,-,-,-,-,-,1.0349,-,-,-,-,-,-,-,-,-
AME,AMETEK INC,0.0852,-,-,-,-,-,-,-,-,0.9995,-,-,-,-,-,-,-,-
RMBS,RAMBUS INC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.07,-,-
ZTS,ZOETIS INC,0.0924,-,-,-,-,-,-,-,0.9776,-,-,-,-,-,-,-,-,-
MKC,MCCORMICK + CO NON VTG SHRS,0.0269,-,-,-,-,-,1.0348,-,-,-,-,-,-,-,-,-,-,-
DKNG UW,DRAFTKINGS INC-CL A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.06
AON,AON PLC CLASS A,0.1192,-,-,0.9383,-,-,-,-,-,-,-,-,-,-,-,-,-,-
BXP,BXP INC,0.0161,-,-,-,-,-,-,-,-,-,-,1.0319,-,-,-,-,-,-
PYPL,PAYPAL HOLDINGS INC,0.0871,0.27,-,0.6857,-,-,-,-,-,-,-,-,-,-,-,-,-,-
BG,BUNGE GLOBAL SA,0.0264,-,-,-,-,-,1.0131,-,-,-,-,-,-,-,-,-,-,-
EBAY,EBAY INC,0.0722,-,-,-,-,0.9614,-,-,-,-,-,-,-,-,-,-,-,-
YUM,YUM  BRANDS INC,0.0717,-,-,-,-,0.9553,-,-,-,-,-,-,-,-,-,-,-,-
ROK,ROCKWELL AUTOMATION INC,0.0791,-,-,-,-,-,-,-,-,0.9278,-,-,-,-,-,-,-,-
GWW,WW GRAINGER INC,0.0776,-,-,-,-,-,-,-,-,0.9106,-,-,-,-,-,-,-,-
CAH,CARDINAL HEALTH INC,0.0853,-,-,-,-,-,-,-,0.9028,-,-,-,-,-,-,-,-,-
ARE,ALEXANDRIA REAL ESTATE EQUIT,0.0151,-,-,-,-,-,-,-,-,-,-,0.9708,-,-,-,-,-,-
MTCH,MATCH GROUP INC,0.0127,-,-,-,0.9723,-,-,-,-,-,-,-,-,-,-,-,-,-
SWKS,SKYWORKS SOLUTIONS INC,0.0148,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.76,0.21,-
DHI,DR HORTON INC,0.0683,-,-,-,-,0.9091,-,-,-,-,-,-,-,-,-,-,-,-
ZS,Zscaler Inc,-,0.18,-,-,-,-,-,-,-,-,-,-,-,0.79,-,-,-,-
TFC,TRUIST FINANCIAL CORP,0.1092,-,-,0.8595,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CPRT,COPART INC,0.0601,0.2,-,-,-,-,-,-,-,0.7076,-,-,-,-,-,-,-,-
CARR,CARRIER GLOBAL CORP,0.0758,-,-,-,-,-,-,-,-,0.8894,-,-,-,-,-,-,-,-
EW,EDWARDS LIFESCIENCES CORP,0.0814,-,-,-,-,-,-,-,0.8612,-,-,-,-,-,-,-,-,-
RSG,REPUBLIC SERVICES INC,0.0733,-,-,-,-,-,-,-,-,0.8603,-,-,-,-,-,-,-,-
TRV,TRAVELERS COS INC/THE,0.1052,-,-,0.8282,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AJG,ARTHUR J GALLAGHER + CO,0.1042,-,-,0.8216,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ASX,ASE TECHNOLOGY HOLDING ADR REPRESE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.92,-,-
PAYX,PAYCHEX INC,0.0564,0.2,-,-,-,-,-,-,-,0.6622,-,-,-,-,-,-,-,-
DAL,DELTA AIR LINES INC,0.0719,-,-,-,-,-,-,-,-,0.8445,-,-,-,-,-,-,-,-
APO,APOLLO GLOBAL MANAGEMENT INC,0.1026,-,-,0.8076,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TEAM,ATLASSIAN CORP CLASS A,-,0.12,-,-,-,-,-,-,-,-,-,-,-,0.79,-,-,-,-
CLX,CLOROX COMPANY,0.0232,-,-,-,-,-,0.88,-,-,-,-,-,-,-,-,-,-,-
GEHC,GE HealthCare Technologies Inc,0.0615,0.19,-,-,-,-,-,-,0.6495,-,-,-,-,-,-,-,-,-
PTC,PTC INC,0.033,-,0.1649,-,-,-,-,-,-,-,-,-,-,0.7,-,-,-,-
ZM,ZOOM COMMUNICATIONS INC CLASS A,-,-,-,-,-,-,-,-,-,-,-,-,-,0.89,-,-,-,-
PD,PAGERDUTY INC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.89
ODFL,Old Dominion Freight Line Inc,0.0541,0.19,-,-,-,-,-,-,-,0.6319,-,-,-,-,-,-,-,-
FIX,COMFORT SYSTEMS USA INC,0.0685,-,-,-,-,-,-,-,-,0.8039,-,-,-,-,-,-,-,-
FRT,FEDERAL REALTY INVS TRUST,0.0133,-,-,-,-,-,-,-,-,-,-,0.8552,-,-,-,-,-,-
PNW,PINNACLE WEST CAPITAL,0.0192,-,-,-,-,-,-,-,-,-,-,-,0.8463,-,-,-,-,-
BABA,ALIBABA GROUP HOLDING-SP ADR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.86
GLW,CORNING INC,0.1435,-,0.716,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
WAB,WABTEC CORP,0.0663,-,-,-,-,-,-,-,-,0.7798,-,-,-,-,-,-,-,-
TYL,TYLER TECHNOLOGIES INC,0.0308,-,0.1534,-,-,-,-,-,-,-,-,-,-,0.65,-,-,-,-
AVAV,AEROVIRONMENT INC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.83,-,-,-
AES,AES CORP,0.018,-,-,-,-,-,-,-,-,-,-,-,0.7928,-,-,-,-,-
SOFI,SOFI TECHNOLOGIES INC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.81
GRMN,GARMIN LTD,0.0562,-,-,-,-,0.748,-,-,-,-,-,-,-,-,-,-,-,-
VRSK,VERISK ANALYTICS INC,0.0507,0.16,-,-,-,-,-,-,-,0.5934,-,-,-,-,-,-,-,-
UMC,UNITED MICRO ELECTRONICS ADR REP,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.8,-,-
IQV,IQVIA HOLDINGS INC,0.0687,-,-,-,-,-,-,-,0.7287,-,-,-,-,-,-,-,-,-
AFL,AFLAC INC,0.0858,-,-,0.6749,-,-,-,-,-,-,-,-,-,-,-,-,-,-
PACB,PACIFIC BIOSCIENCES OF CALIF,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.76
ALL,ALLSTATE CORP,0.0855,-,-,0.673,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TRMB,TRIMBLE INC,0.0278,-,0.1393,-,-,-,-,-,-,-,-,-,-,0.59,-,-,-,-
OTIS,OTIS WORLDWIDE CORP,0.0592,-,-,-,-,-,-,-,-,0.6947,-,-,-,-,-,-,-,-
EXPE,EXPEDIA GROUP INC,0.0524,-,-,-,-,0.6973,-,-,-,-,-,-,-,-,-,-,-,-
A,AGILENT TECHNOLOGIES INC,0.0647,-,-,-,-,-,-,-,0.6842,-,-,-,-,-,-,-,-,-
CCL,CARNIVAL CORP,0.0522,-,-,-,-,0.696,-,-,-,-,-,-,-,-,-,-,-,-
SJM,JM SMUCKER CO/THE,0.019,-,-,-,-,-,0.7236,-,-,-,-,-,-,-,-,-,-,-
XYL,XYLEM INC,0.0571,-,-,-,-,-,-,-,-,0.673,-,-,-,-,-,-,-,-
KRMN,KARMAN HOLDINGS INC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.73,-,-,-
RMD,RESMED INC,0.0627,-,-,-,-,-,-,-,0.6621,-,-,-,-,-,-,-,-,-
UAL,UNITED AIRLINES HOLDINGS INC,0.0565,-,-,-,-,-,-,-,-,0.6631,-,-,-,-,-,-,-,-
DXCM,DEXCOM INC,0.0483,0.15,-,-,-,-,-,-,0.5101,-,-,-,-,-,-,-,-,-
TSCO,TRACTOR SUPPLY COMPANY,0.0495,-,-,-,-,0.6579,-,-,-,-,-,-,-,-,-,-,-,-
ULTA,ULTA BEAUTY INC,0.049,-,-,-,-,0.6524,-,-,-,-,-,-,-,-,-,-,-,-
MOGA,MOOG INC CLASS A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.69,-,-,-
AMP,AMERIPRISE FINANCIAL INC,0.0777,-,-,0.6118,-,-,-,-,-,-,-,-,-,-,-,-,-,-
EME,EMCOR GROUP INC,0.0537,-,-,-,-,-,-,-,-,0.6312,-,-,-,-,-,-,-,-
TEL,TE CONNECTIVITY PLC,0.1139,-,0.5678,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MSI,MOTOROLA SOLUTIONS INC,0.1135,-,0.5656,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
SNDK,SANDISK CORP,0.1124,-,0.5605,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,SSI US GOV MONEY MARKET CLASS,0.3417,-,-,-,-,-,-,-,-,-,0.1077,-,0.2155,-,-,-,-,-
IR,INGERSOLL RAND INC,0.0523,-,-,-,-,-,-,-,-,0.6106,-,-,-,-,-,-,-,-
NDAQ,NASDAQ INC,0.0745,-,-,0.5866,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MSCI,MSCI INC,0.0733,-,-,0.5766,-,-,-,-,-,-,-,-,-,-,-,-,-,-
GEN,GEN DIGITAL INC,0.0236,-,0.1183,-,-,-,-,-,-,-,-,-,-,0.5,-,-,-,-
MET,METLIFE INC,0.0712,-,-,0.5604,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TPR,TAPESTRY INC,0.0438,-,-,-,-,0.5831,-,-,-,-,-,-,-,-,-,-,-,-
CTSH,Cognizant Technology Solutions Corp,0.0685,0.21,0.3417,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
WGS,GENEDX HOLDINGS CORP,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.62
MELI,MercadoLibre Inc,-,0.61,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
WSM,WILLIAMS SONOMA INC,0.0427,-,-,-,-,0.5666,-,-,-,-,-,-,-,-,-,-,-,-
DOV,DOVER CORP,0.0475,-,-,-,-,-,-,-,-,0.5596,-,-,-,-,-,-,-,-
APA,APA CORP,0.0154,-,-,-,-,-,-,0.5881,-,-,-,-,-,-,-,-,-,-
AIG,AMERICAN INTERNATIONAL GROUP,0.0669,-,-,0.5262,-,-,-,-,-,-,-,-,-,-,-,-,-,-
HUBS,HUBSPOT INC,-,-,-,-,-,-,-,-,-,-,-,-,-,0.59,-,-,-,-
PHM,PULTEGROUP INC,0.0405,-,-,-,-,0.5395,-,-,-,-,-,-,-,-,-,-,-,-
LEN,LENNAR CORP W/D,0.0398,-,-,-,-,0.5306,-,-,-,-,-,-,-,-,-,-,-,-
CAG,CONAGRA BRANDS INC,0.0145,-,-,-,-,-,0.5533,-,-,-,-,-,-,-,-,-,-,-
MTD,METTLER TOLEDO INTERNATIONAL,0.0488,-,-,-,-,-,-,-,0.5168,-,-,-,-,-,-,-,-,-
PRU,PRUDENTIAL FINANCIAL INC,0.0631,-,-,0.4965,-,-,-,-,-,-,-,-,-,-,-,-,-,-
DRI,DARDEN RESTAURANTS INC,0.0384,-,-,-,-,0.5116,-,-,-,-,-,-,-,-,-,-,-,-
HUBB,HUBBELL INC,0.0434,-,-,-,-,-,-,-,-,0.5065,-,-,-,-,-,-,-,-
EFX,EQUIFAX INC,0.0427,-,-,-,-,-,-,-,-,0.5012,-,-,-,-,-,-,-,-
TAP,MOLSON COORS BEVERAGE CO   B,0.0136,-,-,-,-,-,0.5287,-,-,-,-,-,-,-,-,-,-,-
HIG,HARTFORD INSURANCE GROUP INC,0.0609,-,-,0.4795,-,-,-,-,-,-,-,-,-,-,-,-,-,-
HXL,HEXCEL CORP,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.54,-,-,-
VLTO,VERALTO CORP,0.042,-,-,-,-,-,-,-,-,0.4915,-,-,-,-,-,-,-,-
FISV,FISERV INC,0.0598,-,-,0.4707,-,-,-,-,-,-,-,-,-,-,-,-,-,-
STT,STATE STREET CORP,0.0598,-,-,0.4707,-,-,-,-,-,-,-,-,-,-,-,-,-,-
BR,BROADRIDGE FINANCIAL SOLUTIO,0.0405,-,-,-,-,-,-,-,-,0.4743,-,-,-,-,-,-,-,-
NVR,NVR INC,0.0358,-,-,-,-,0.4756,-,-,-,-,-,-,-,-,-,-,-,-
LDOS,LEIDOS HOLDINGS INC,0.0402,-,-,-,-,-,-,-,-,0.471,-,-,-,-,-,-,-,-
ARM,ARM HOLDINGS AMERICAN DEPOSITARY S,-,0.08,-,-,-,-,-,-,-,-,-,-,-,-,-,0.43,-,-
ACGL,ARCH CAPITAL GROUP LTD,0.0566,-,-,0.4454,-,-,-,-,-,-,-,-,-,-,-,-,-,-
STE,STERIS PLC,0.0433,-,-,-,-,-,-,-,0.4583,-,-,-,-,-,-,-,-,-
NWS,NEWS CORP   CLASS B,0.0063,-,-,-,0.4943,-,-,-,-,-,-,-,-,-,-,-,-,-
IBKR,INTERACTIVE BROKERS GRO CL A,0.0563,-,-,0.4438,-,-,-,-,-,-,-,-,-,-,-,-,-,-
FITB,FIFTH THIRD BANCORP,0.0564,-,-,0.4437,-,-,-,-,-,-,-,-,-,-,-,-,-,-
U,UNITY SOFTWARE INC,-,-,-,-,-,-,-,-,-,-,-,-,-,0.5,-,-,-,-
MTB,M + T BANK CORP,0.0561,-,-,0.4414,-,-,-,-,-,-,-,-,-,-,-,-,-,-
BIIB,BIOGEN INC,0.0429,-,-,-,-,-,-,-,0.4535,-,-,-,-,-,-,-,-,-
HUM,HUMANA INC,0.0419,-,-,-,-,-,-,-,0.444,-,-,-,-,-,-,-,-,-
HRL,HORMEL FOODS CORP,0.0124,-,-,-,-,-,0.4734,-,-,-,-,-,-,-,-,-,-,-
