Ticker,Name,SPY,QQQ,XLK,XLF,XLC,XLY,XLP,XLE,XLV,XLI,XLB,XLRE,XLU,IGV,ITA,SOXX,SMH,ARKK
COP,CONOCOPHILLIPS,0.207,-,-,-,-,-,-,6.7817,-,-,-,-,-,-,-,-,-,-
CDNS,Cadence Design Systems Inc,0.1456,0.45,0.7247,-,-,-,-,-,-,-,-,-,-,3.06,-,-,2.4,-
KO,COCA COLA CO/THE,0.4776,-,-,-,-,-,6.2377,-,-,-,-,-,-,-,-,-,-,-
NOC,NORTHROP GRUMMAN CORP,0.1527,-,-,-,-,-,-,-,-,1.7943,-,-,-,-,4.74,-,-,-
HD,HOME DEPOT INC,0.6347,-,-,-,-,6.0495,-,-,-,-,-,-,-,-,-,-,-,-
AMT,AMERICAN TOWER CORP,0.1415,-,-,-,-,-,-,-,-,-,-,6.4923,-,-,-,-,-,-
PM,PHILIP MORRIS INTERNATIONAL,0.4671,-,-,-,-,-,6.0999,-,-,-,-,-,-,-,-,-,-,-
EA,ELECTRONIC ARTS INC,0.0772,0.27,-,-,4.5106,-,-,-,-,-,-,-,-,1.62,-,-,-,-
CAT,CATERPILLAR INC,0.5015,-,-,-,-,-,-,-,-,5.8906,-,-,-,-,-,-,-,-
PANW,PALO ALTO NETWORKS INC,0.2105,0.67,1.0497,-,-,-,-,-,-,-,-,-,-,4.43,-,-,-,-
MA,MASTERCARD INC   A,0.7158,-,-,5.6333,-,-,-,-,-,-,-,-,-,-,-,-,-,-
LHX,L3HARRIS TECHNOLOGIES INC,0.1129,-,-,-,-,-,-,-,-,1.3291,-,-,-,-,4.89,-,-,-
TTWO,Take-Two Interactive Software Inc,0.0714,0.24,-,-,4.4825,-,-,-,-,-,-,-,-,1.51,-,-,-,-
ADBE,ADOBE INC,0.2088,0.65,1.0412,-,-,-,-,-,-,-,-,-,-,4.4,-,-,-,-
EQIX,EQUINIX INC,0.1329,-,-,-,-,-,-,-,-,-,-,6.1217,-,-,-,-,-,-
NXPI,NXP SEMICONDUCTORS NV,0.097,0.3,0.4829,-,-,-,-,-,-,-,-,-,-,-,-,3.96,1.38,-
HWM,HOWMET AEROSPACE INC,0.1454,-,-,-,-,-,-,-,-,1.7076,-,-,-,-,4.34,-,-,-
GD,GENERAL DYNAMICS CORP,0.1559,-,-,-,-,-,-,-,-,1.8316,-,-,-,-,4.15,-,-,-
CRWD,CROWDSTRIKE HOLDINGS INC CLASS A,0.2006,0.62,1.0004,-,-,-,-,-,-,-,-,-,-,4.22,-,-,-,-
TDG,TRANSDIGM GROUP INC,0.1347,-,-,-,-,-,-,-,-,1.5838,-,-,-,-,4.25,-,-,-
MPWR,MONOLITHIC POWER SYSTEMS INC,0.0878,0.27,0.4389,-,-,-,-,-,-,-,-,-,-,-,-,3.97,1.16,-
PEP,PEPSICO INC,0.3412,1.06,-,-,-,-,4.4564,-,-,-,-,-,-,-,-,-,-,-
FCX,FREEPORT MCMORAN INC,0.1514,-,-,-,-,-,-,-,-,-,5.6838,-,-,-,-,-,-,-
TMUS,T MOBILE US INC,0.1488,1.08,-,-,4.2426,-,-,-,-,-,-,-,-,-,-,-,-,-
CRSP,CRISPR THERAPEUTICS AG,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.42
COIN,COINBASE GLOBAL INC  CLASS A,0.0807,-,-,0.6351,-,-,-,-,-,-,-,-,-,-,-,-,-,4.69
CMCSA,COMCAST CORP CLASS A,0.175,0.55,-,-,4.674,-,-,-,-,-,-,-,-,-,-,-,-,-
CRH,CRH PLC,0.1391,-,-,-,-,-,-,-,-,-,5.2192,-,-,-,-,-,-,-
AXON,AXON ENTERPRISE INC,0.0804,0.25,-,-,-,-,-,-,-,0.9487,-,-,-,-,4.04,-,-,-
NOW,SERVICENOW INC,0.2293,-,1.1435,-,-,-,-,-,-,-,-,-,-,3.92,-,-,-,-
MRVL,Marvell Technology Inc,-,0.37,-,-,-,-,-,-,-,-,-,-,-,-,-,3.12,1.78,-
BAC,BANK OF AMERICA CORP,0.5879,-,-,4.6273,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AEP,American Electric Power Co Inc,0.107,0.33,-,-,-,-,-,-,-,-,-,-,4.7698,-,-,-,-,-
MRK,MERCK + CO. INC.,0.4493,-,-,-,-,-,-,-,4.7551,-,-,-,-,-,-,-,-,-
ROKU,ROKU INC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.2
HOOD,ROBINHOOD MARKETS INC   A,0.1388,-,-,1.0925,-,-,-,-,-,-,-,-,-,-,-,-,-,3.96
SHW,SHERWIN WILLIAMS CO/THE,0.1338,-,-,-,-,-,-,-,-,-,5.0231,-,-,-,-,-,-,-
MDLZ,MONDELEZ INTERNATIONAL INC A,0.1277,0.4,-,-,-,-,4.6068,-,-,-,-,-,-,-,-,-,-,-
TEM,TEMPUS AI INC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.07
SHOP,SHOPIFY INC - CLASS A,-,0.88,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.17
MCHP,MICROCHIP TECHNOLOGY INC,0.0682,0.21,0.3397,-,-,-,-,-,-,-,-,-,-,-,-,3.42,1.01,-
SLB,SLB LTD,0.1268,-,-,-,-,-,-,4.8582,-,-,-,-,-,-,-,-,-,-
UNH,UNITEDHEALTH GROUP INC,0.4294,-,-,-,-,-,-,-,4.546,-,-,-,-,-,-,-,-,-
DIS,WALT DISNEY CO/THE,0.3312,-,-,-,4.5651,-,-,-,-,-,-,-,-,-,-,-,-,-
BKNG,BOOKING HOLDINGS INC,0.2786,0.87,-,-,-,3.7112,-,-,-,-,-,-,-,-,-,-,-,-
CBRE,CBRE GROUP INC   A,0.0833,-,-,-,-,-,-,-,-,-,-,4.7555,-,-,-,-,-,-
O,REALTY INCOME CORP,0.094,-,-,-,-,-,-,-,-,-,-,4.7277,-,-,-,-,-,-
