1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102
Ticker,EPS LTM,EPS - most recent FY,EPS Est current FY,EPS Est FY+1,EPS Est FY+2,EPS EST NTM,EPS EST NTM+1,EPS EST NTM - 30 days ago,EPS EST NTM - 90 days ago,EPS EST Current Qtr,EPS Est Next Qtr,EPS surprise last qtr,Sales LTM,Sales - most recent FY,Sales Est current FY,Sales Est FY+1,Sales Est FY+2,Sales EST NTM,Sales EST NTM+1,SALES EST NTM - 30 days ago,SALES EST NTM - 90 days ago,SALES EST Current Qtr,SALES EST Next Qtr,SALES surprise last qtr,EBITDA LTM,EBITDA - most recent FY,EBITDA Est current FY,EBITDA Est FY+1,EBITDA Est FY+2,EBITDA EST NTM,EBITDA EST NTM+1,EBITDA EST NTM - 30 days ago,EBITDA EST NTM - 90 days ago,EBITDA EST Current Qtr,EBITDA EST Next Qtr,PRICE,SO,MKT CAP,EV,ND,Gross Profit LTM,EBIT LTM,Stock Option Expense - LTM,Stock price - LTM High,Stock price - LTM LOW,ROIC 1 YR,ROIC  3YR,14 day RSI,SI % of float,SI Days to Cover,Insider % ownership,Insider Purchases,Insider Sales,,,,Accruals abs,acrcrurals %,FCF,Consensus Price Target,Next Earnings Date,Next Earnings Date Time of day,LAST Reported FYE,FYE,LAST Reported FQ,Total assets,1 month volatility,2 month vol,3 month vol,1 yr Beta,3 yr beta,5 yr beta - monthly,5 yr beta - weekly,EV/EBITDA - NTM,EV/Sales - NTM,P/E NTM,3-YR AVG NTM EV/EBITDA,3-YR AVG NTM EV/SALES,3-YR AVG NTM P/E,3-YR MEDIAN NTM EV/EBITDA,3-YR MEDIAN NTM EV/SALES,3-YR MEDIAN NTM P/E,3-YR MIN NTM EV/EBITDA,3-YR MIN NTM EV/SALES,3-YR MIN NTM P/E,3-YR MAX NTM EV/EBITDA,3-YR MAX NTM EV/SALES,3-YR MAX NTM P/E,52 week high,26-YR AVG NTM EV/EBITDA,26-YR AVG NTM EV/SALES,26-YR AVG NTM P/E,26-YR MEDIAN NTM EV/EBITDA,26-YR MEDIAN NTM EV/SALES,26-YR MEDIAN NTM P/E,26-YR MIN NTM EV/EBITDA,26-YR MIN NTM EV/SALES,26-YR MIN NTM P/E,26-YR MAX NTM EV/EBITDA,26-YR MAX NTM EV/SALES,26-YR MAX NTM P/E
XLI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.145,0.143,0.131,0.967,0.962,1.046,0.929,15.9,3,24.1,13.87944435,2.596851074,20.84521338,13.81065288,2.569748526,20.87236329,11.38811523,2.105155906,16.57275617,16.51153404,3.128271262,25.19577291,156.985,11.12041961,1.903939759,16.81287422,10.67733218,1.827443027,16.22082627,7.303060077,1.080667888,8.002849522,16.51153404,3.128271262,27.35727264
XLB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.173,0.166,0.157,0.809,0.874,1.020,0.910,10.2,2.2,18.3,10.63778977,2.340505412,18.70140147,10.61207324,2.297842628,19.03393223,9.290523312,1.980982431,15.66890692,11.8615481,2.645041654,21.44428309,46.575,8.796702121,1.798076025,16.20423314,8.70,1.639386487,16.33449083,5.249703285,0.86,8.48,12.22234403,2.871183726,24.97154004
XLRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.110,0.137,0.125,0.497,0.742,1.033,0.807,18.2,8.1,17.2,18.3944914,8.406333211,17.36190053,18.40950624,8.395838234,17.39691337,16.08766057,7.395597646,14.52024301,20.164932,9.257604527,19.66937055,43.9949,19.30860036,9.040046883,18.56273873,18.78,9.010909063,18.02811779,15.80491473,7.24,13.99,24.20792331,11.01262738,24.46832815
XLU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.135,0.130,0.132,0.379,0.386,0.676,0.510,11.7,4.8,18.3,11.53408813,4.379998487,17.34172287,11.58858111,4.428357565,17.57260636,10.54525438,3.740276776,14.26482948,12.33420341,5.006627649,19.83439562,46.885,9.218243389,2.930805332,15.29939417,8.624645477,2.526109027,15.198703,5.776510576,1.045831466,7.952411037,13.24413766,5.099754526,21.9692789
IGV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.210,0.217,0.198,1.305,1.328,1.172,1.353,22.2,8.7,32.7,21.84218283,8.064476502,32.95185748,21.95302173,8.206252282,32.85669571,16.67131764,5.596722953,25.95842268,27.01741042,10.18026837,40.17866198,117.99,15.49459966,4.804244527,25.8634882,13.69,3.857355656,24.77092254,5.733018391,1.63,10.61,32.89286186,10.9624992,51.23037917
ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.186,0.193,0.179,1.073,0.926,0.794,0.915,20.4,3.2,33,17.21065002,2.473517007,27.63892391,16.63230377,2.302898153,26.36083227,13.9672543,1.874170933,21.60473376,22.27850641,3.429772423,36.90623108,220.79,10.98267719,1.601671823,18.24692326,9.74,1.508384403,16.82747628,4.641993721,0.62,6.92,22.11154932,3.405512934,36.56122716
SOXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316.330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.353,0.381,0.338,1.748,1.799,1.525,1.613,18.7,7.4,27.8,15.49581655,5.81021319,23.18104086,15.48581147,5.764724753,23.31621086,10.76074517,4.065045186,15.74332493,19.73683891,7.666701687,29.35768546,314.0799,10.96941608,3.399585244,21.00279023,10.15378576,2.950625065,17.42938464,4.967504595,1.20,-667.77,20.81053171,7.591540002,309.512295
SMH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374.100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.319,0.341,0.304,1.714,1.790,1.532,1.599,18.4,8.2,27.6,16.39282675,6.997298793,24.92337435,16.52051969,7.079200384,25.28660743,10.78578355,4.42336201,16.46157627,21.81047836,9.725378012,33.21551836,372.7816,11.43152665,4.58505885,18.24769524,10.11550605,4.065176659,15.94583611,6.117834862,2.03,11.16,21.18896368,9.437994829,32.27558426
ARKK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.360,0.417,0.394,1.976,2.228,1.965,2.087,278.1,6.6,-103,124.5254327,4.499954124,-55.03008869,-54.48543065,4.093317039,-49.70468908,-7879.40452,2.723083507,-150.2226728,77069.4184,7.545127464,-15.89298209,92.65,-133.1140883,4.948178957,-37.7713133,-39.57,4.044581938,-46.21558813,-66422.90875,2.73,"-5,872.59",17854.32473,11.84892802,1508.786826
DIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,481.350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.134,0.126,0.110,0.879,0.821,0.889,0.834,15.6,4.1,20.5,13.92501486,3.329454741,18.33355876,13.5859378,3.464587394,18.11942816,11.93526854,2.481681309,15.59386205,16.07828209,4.174947451,20.81830406,484.395,10.46821618,2.023540165,15.66654973,10.63,1.807866621,15.57415571,5.572161816,0.87,9.993671213,15.91507456,4.146391041,21.80273382
